#{"t_start": 1675588570.4988644, "env_id": null}
r,l,t
-22.064,64,0.55148
-10.159,159,1.760036
-10.214,214,3.441594
-10.215,215,5.127097
-22.073,73,5.657193
-10.069,69,6.223067
-22.072,72,6.757237
-10.214,214,8.446146
-10.214,214,10.049721
-10.272,272,12.12386
-10.158,158,13.369243
-10.073,73,13.955072
-10.188,188,15.528151
-10.071,71,16.057042
-10.216,216,17.756905
-10.075,75,18.349084
-10.158,158,19.656649
-10.158,158,20.948922
-10.038,38,21.237267
-12.158,158,22.429141
-10.301,301,24.756954
-10.067,67,25.257288
-10.439,439,28.860167
-10.158,158,30.243653
-10.159,159,31.635498
-10.158,158,33.135386
-10.158,158,34.461416
-10.158,158,35.657982
-10.053,53,36.056549
-10.409,409,39.463718
-10.075,75,40.243705
-10.158,158,41.655661
-10.158,158,43.127328
